(AVR),ATMEGA32U4-AU,-,TQFP44_10,$6.04 MOUSER 556-ATMEGA32U4-AU,1,$6.04,556-ATMEGA32U4-AU,1
(Rm1),RESISTOR,1M,0402,$0.14 MOUSER 594-MCS04020C1004FE0,1,$0.14,594-MCS04020C1004FE0,1
(Um1),CRYSTAL,16MHz,ACY200,$0.39 MOUSER ABL-16.000MHZ-B2,1,$0.39,ABL-16.000MHZ-B2,1
(Ru1|Ru2),RESISTOR,22,0805,$0.52 MOUSER 71-TNPW080522R1BEEA,2,$0.52,71-TNPW080522R1BEEA,2
(USB),CONNECTOR_5,-,USB_TypeA_PCB,$0.00 PCB-INTEGRAL Trace based connector.,1,$0.00,,1
(3.3V),Microchip MCP170x regulator TO92,-,SOT89,$0.60 MOUSER 579-MCP1703AT3302EMB,1,$0.60,579-MCP1703AT3302EMB,1
(ISP),CONNECTOR_6,-,HEADER6_2,$0.25 MOUSER 649-77313-818-06LF,1,$0.25,649-77313-818-06LF,1
(BAT|PWR),CONNECTOR_2,-,HEADER2_1,-,2,-,,2
(eth0/ENC28J60),ENC28J60,-,SO28,$3.40 MOUSER 579-ENC28J60-I/SO,1,$3.40,579-ENC28J60-I/SO,1
(eth0/PHY),CONNECTOR_12,-,MAGJACK,$1.95 SparkFun PRT-08534,1,$1.95,,1
(eth0/EXT),CONNECTOR_10,-,HEADER10_1,-,1,-,,1
(eth0/XTAL),CRYSTAL,25MHz,ACY200,$0.39 MOUSER 815-ABL-25-B2F,1,$0.39,815-ABL-25-B2F,1
(Cm1|Cm2|eth0/Ce4|eth0/Ce5),CAPACITOR,22p,0402,$0.10 MOUSER 80-C0402C220J5G,4,$0.10,80-C0402C220J5G,4
(Ri1|eth0/Re2),RESISTOR,10k,0402,$0.13 MOUSER 71-TNPW040210K0DETD,2,$0.13,71-TNPW040210K0DETD,2
(Ex1/MOV1|Ex1/MOV2|Uu1|Uu2),ESD_Suppressor,-,0603,$0.13 MOUSER 652-CG0603MLC-05E,4,$0.13,652-CG0603MLC-05E,4
(Ex1/L1|Ex2/L1|Ex3/L1|La1|La3|La4|Lp1|eth0/Lp1),INDUCTOR,4.7uH,0603,$0.12 MOUSER 70-ILSB0603ER4R7K,8,$0.12,70-ILSB0603ER4R7K,8
(Ex1/R2|Ex1/R3|Ex1/R4|Ex1/R5|Ex1/R7|Ex1/R8|Ex2/R1|Ex2/R2|Ex3/R1|Ex3/R2|eth0/Rp1|eth0/Rp2|eth0/Rp3|eth0/Rp4),RESISTOR,50,0402,$0.08 MOUSER 71-CRCW0402-49.9-E3,14,$0.08,71-CRCW0402-49.9-E3,14
(Ca2|Ca3|Cm3|Ex1/C2|Ex1/C3|Ex1/C4|Ex1/C5|Ex2/C1|Ex2/C2|Ex3/C1|Ex3/C2|eth0/Ce2|eth0/Ce3|eth0/Ce6|eth0/Ce7|eth0/Ce8|eth0/Cp1|eth0/Cp2),CAPACITOR,0.1u,0402,$0.10 MOUSER 80-C0402C104K8R,18,$0.10,80-C0402C104K8R,18
(Ex1/RJ45|Ex2/RJ45|Ex3/RJ45),CONNECTOR_9,-,538-95540-2881,$1.75 MOUSER 538-95540-2881,3,$1.75,538-95540-2881,3
(Ex1/SPRK1|Ex1/SPRK2|Ex1/SPRK3|Ex1/SPRK4|Ex1/SPRK5|Ex1/SPRK6|Ex1/SPRK7|Ex2/SPRK1|Ex2/SPRK2|Ex2/SPRK3|Ex3/SPRK1|Ex3/SPRK2|Ex3/SPRK3),GLOW_LAMP,~2kV,SparkGap,-,13,-,,13
(wi/RN171),RN171,12dBm,RN171,$31.50 MOUSER 765-RN-171,1,$31.50,765-RN-171,1
(wi/U1),traceAnt,50Ohm@2.4GHz,50Ohm2point4GHzTraceAntenna,-,1,-,,1
(Ca4|Cp2|Cu1|Ex1/C1|Ex2/C3|Ex3/C3|eth0/Ce1|wi/C1),CAPACITOR,4.7u,0603,$0.13 MOUSER 80-C0603C475K9P,8,$0.13,80-C0603C475K9P,8
(eth0/Re1|wi/R4|wi/R5),RESISTOR,100k,0402,$0.14 MOUSER 594-MCS04020C1003FE0,3,$0.14,594-MCS04020C1003FE0,3
(Ex1/R1|Ex1/R6|Rn1|eth0/Re3|eth0/Re4|eth0/Rp5|eth0/Rp6|wi/R1|wi/R2|wi/R3),RESISTOR,1k,0402,$0.14 MOUSER 594-MCS0402MC1001FE0,10,$0.14,594-MCS0402MC1001FE0,10
(LED|wi/LED1|wi/LED2|wi/LED3),LED,-,0402,$0.09 MOUSER 78-VLMG1500-GS08,4,$0.09,78-VLMG1500-GS08,4
(wi/XBEE),Xbee,-,XbeePro,$34.95 SparkFun WRL-10822,1,$34.95,,1
(Cp1),CAPACITOR,4.7u,0805,$0.06 MOUSER 77-VJ0805V475ZXQTBC,1,$0.06,77-VJ0805V475ZXQTBC,1
